st_tekme,starost,nasprotnik,zadetki,asistence,tocke,plus_minus,kazni,streli
1,18-232,WSH,0,0,0,2,0,1
2,18-234,NJD,1,0,1,-1,0,1
3,18-236,STL,0,0,0,-1,0,1
4,18-238,CHI,0,0,0,0,0,0
5,18-240,NYI,1,0,1,1,0,3
6,18-243,PHI,0,0,0,-2,0,1
7,18-246,BUF,1,1,2,1,2,3
8,18-247,NYR,0,0,0,-2,2,4
9,18-250,MTL,0,0,0,0,0,0
10,18-252,QUE,0,0,0,0,0,1
11,18-254,NJD,0,0,0,-2,0,2
12,18-255,NYI,2,0,2,2,0,3
13,18-257,PHI,0,2,2,1,0,3
14,18-261,NYR,0,0,0,0,0,0
15,18-264,CGY,0,0,0,1,2,0
16,18-266,STL,0,0,0,0,2,4
17,18-268,BOS,0,1,1,0,0,3
18,18-271,MNS,1,0,1,0,0,1
19,18-272,WIN,1,0,1,-1,0,1
20,18-275,LAK,0,0,0,0,0,0
21,18-279,PHI,0,0,0,0,0,4
22,18-281,WSH,0,0,0,-2,0,1
23,18-282,WSH,0,0,0,-1,0,1
24,18-285,EDM,0,0,0,-1,0,1
25,18-287,HAR,0,0,0,-1,2,0
26,18-289,MNS,0,0,0,0,0,0
27,18-291,NYR,0,1,1,0,0,0
28,18-293,WSH,0,0,0,0,0,1
29,18-295,VAN,0,0,0,0,0,0
30,18-296,HAR,0,0,0,-1,2,1
31,18-299,CHI,0,0,0,-2,0,1
32,18-301,NJD,0,0,0,-1,0,0
33,18-302,BUF,0,0,0,0,0,0
34,18-304,DET,0,0,0,0,0,2
35,18-306,WIN,0,1,1,1,10,1
36,18-308,MNS,1,0,1,0,0,1
37,18-310,NYI,0,1,1,0,0,1
38,18-311,NYI,1,0,1,0,0,1
39,18-314,WSH,1,2,3,3,0,1
40,18-316,DET,0,1,1,1,0,1
41,18-317,TOR,2,0,2,0,0,3
42,18-319,STL,0,0,0,0,0,1
43,18-322,NYR,0,1,1,-2,0,4
44,18-324,NJD,1,0,1,1,0,2
45,18-325,MTL,0,1,1,-2,0,2
46,18-327,EDM,0,2,2,2,2,4
47,18-329,CGY,0,1,1,1,0,1
48,18-334,PHI,0,1,1,0,0,1
49,18-336,TOR,0,0,0,0,0,1
50,18-341,NJD,0,0,0,-1,0,3
51,18-345,QUE,0,1,1,0,0,1
52,18-348,WSH,0,1,1,1,0,4
53,18-350,PHI,0,0,0,0,0,1
54,18-352,BOS,3,0,3,1,4,5
55,18-353,BOS,0,1,1,0,2,3
56,18-358,WIN,0,0,0,-2,0,2
57,18-361,EDM,2,0,2,1,0,3
58,18-364,NYI,0,1,1,1,0,0
59,19-001,NYI,1,1,2,0,0,1
60,19-004,BUF,1,0,1,0,0,3
61,19-006,TOR,0,1,1,1,0,0
62,19-007,NJD,0,1,1,-1,0,2
63,19-009,WSH,1,0,1,-2,0,2
64,19-011,LAK,0,0,0,-2,0,0
65,19-012,VAN,0,0,0,-1,0,2
66,19-014,CGY,0,1,1,-3,2,2
67,19-018,VAN,0,0,0,0,2,2
68,19-020,LAK,0,0,0,0,0,3
69,19-022,HAR,1,0,1,1,0,3
70,19-023,NYI,0,1,1,1,0,1
71,19-025,MTL,0,1,1,0,0,2
72,19-029,QUE,1,1,2,2,0,2
73,19-030,NYR,0,0,0,0,2,0
74,19-032,NJD,1,0,1,1,0,1
75,19-034,NYR,0,1,1,1,0,4
76,19-036,CHI,0,0,0,0,0,2
77,19-039,PHI,0,0,0,0,2,2
78,19-040,DET,2,0,2,2,0,3
79,19-043,PHI,1,1,2,1,0,4
80,19-044,NYR,0,1,1,-1,4,4
81,19-231,BUF,0,3,3,1,0,5
82,19-233,PHI,0,0,0,0,0,3
83,19-237,PHI,0,1,1,1,0,4
84,19-239,NJD,0,0,0,-1,0,1
85,19-242,NYI,1,1,2,3,0,5
86,19-244,NYI,1,1,2,1,0,2
87,19-246,NYR,1,1,2,-3,0,4
88,19-249,CHI,0,1,1,1,0,4
89,19-251,NJD,0,0,0,-1,0,4
90,19-253,MTL,0,0,0,0,0,2
91,19-256,WSH,0,0,0,-2,0,1
92,19-258,MNS,1,1,2,2,0,5
93,19-260,HAR,0,0,0,-1,0,1
94,19-263,BOS,1,0,1,1,0,4
95,19-266,WIN,0,0,0,0,0,1
96,19-267,MNS,0,1,1,0,2,2
97,19-269,NYR,0,0,0,0,0,1
98,19-271,EDM,1,2,3,5,0,5
99,19-273,WSH,0,1,1,-2,0,2
100,19-276,QUE,1,1,2,2,0,3
101,19-278,PHI,1,2,3,2,2,3
102,19-281,NYI,0,0,0,-1,0,3
103,19-285,NJD,0,0,0,0,2,2
104,19-287,PHI,1,3,4,5,0,2
105,19-288,PHI,0,2,2,2,0,1
106,19-291,EDM,0,0,0,-3,0,0
107,19-293,SJS,0,0,0,1,0,3
108,19-295,STL,0,0,0,-1,0,3
109,19-298,NYR,0,0,0,-2,0,1
110,19-301,NJD,0,0,0,0,0,3
111,19-302,WSH,1,0,1,-1,2,4
112,19-305,SJS,0,2,2,1,0,3
113,19-307,BOS,2,0,2,1,0,4
114,19-309,NYR,1,0,1,0,0,6
115,19-311,NYI,0,0,0,-2,0,3
116,19-314,TOR,2,0,2,2,0,5
117,19-316,WSH,0,2,2,2,0,2
118,19-317,NYR,2,1,3,2,0,5
119,19-319,NJD,1,0,1,0,0,6
120,19-321,NJD,0,0,0,0,0,0
121,19-323,WIN,0,1,1,0,2,4
122,19-326,LAK,0,0,0,0,0,3
123,19-329,CGY,2,0,2,0,0,4
124,19-331,VAN,1,0,1,-1,0,2
125,19-335,DET,0,0,0,0,0,1
126,19-342,BUF,0,0,0,-1,2,1
127,19-344,NYI,1,1,2,1,0,1
128,19-345,WSH,1,0,1,1,12,4
129,20-005,QUE,1,1,2,2,0,4
130,20-007,MTL,0,0,0,0,0,2
131,20-010,WSH,0,0,0,-1,0,2
132,20-012,HAR,1,0,1,-2,0,2
133,20-014,BUF,1,1,2,1,2,2
134,20-017,CGY,1,0,1,0,0,6
135,20-020,SJS,0,0,0,1,2,4
136,20-021,LAK,0,0,0,-2,4,4
137,20-024,CGY,0,1,1,1,2,1
138,20-026,NYI,1,0,1,-1,0,5
139,20-028,TOR,0,1,1,-2,0,3
140,20-029,CHI,0,1,1,0,0,0
141,20-031,EDM,0,2,2,-1,0,1
142,20-033,QUE,2,0,2,0,0,5
143,20-036,HAR,0,0,0,-1,0,3
144,20-038,DET,0,0,0,0,0,4
145,20-040,VAN,0,1,1,1,0,0
146,20-042,MTL,0,1,1,1,0,1
147,20-045,PHI,0,0,0,-1,0,0
148,20-058,NJD,0,0,0,-1,0,0
149,20-060,WSH,2,0,2,2,0,4
150,20-061,NYR,0,0,0,0,0,3
151,20-234,PHI,0,0,0,-1,0,4
152,20-236,NYI,1,2,3,2,4,3
153,20-238,MTL,0,0,0,-1,0,4
154,20-241,BUF,1,2,3,1,0,5
155,20-243,MTL,1,1,2,1,0,5
156,20-245,HAR,0,3,3,2,2,5
157,20-248,VAN,1,1,2,2,0,4
158,20-250,DET,1,3,4,2,0,4
159,20-252,NJD,1,0,1,1,0,1
160,20-255,OTT,0,0,0,-1,0,2
161,20-257,STL,0,0,0,-1,0,1
162,20-260,TBL,0,2,2,1,2,3
163,20-262,NYI,0,0,0,1,0,1
164,20-264,STL,1,0,1,1,0,6
165,20-266,TOR,0,0,0,-1,0,10
166,20-267,CHI,1,0,1,-2,0,4
167,20-269,MNS,0,0,0,0,0,2
168,20-271,QUE,0,0,0,-1,0,2
169,20-272,DET,0,0,0,-2,0,2
170,20-276,BUF,0,1,1,-1,0,4
171,20-279,NJD,0,0,0,1,2,6
172,20-280,NJD,1,0,1,1,0,2
173,20-282,NYR,0,0,0,0,2,2
174,20-284,NYR,0,1,1,1,0,0
175,20-286,WSH,0,0,0,-4,2,2
176,20-287,WSH,0,2,2,2,0,0
177,20-290,NYI,1,1,2,2,0,2
178,20-292,LAK,0,0,0,-1,0,5
179,20-294,SJS,1,1,2,2,0,5
180,20-297,WIN,1,2,3,3,2,3
181,20-300,NJD,0,0,0,-1,2,2
182,20-301,NJD,0,1,1,1,0,1
183,20-304,PHI,0,1,1,0,0,3
184,20-306,PHI,2,0,2,1,2,4
185,20-308,NYI,2,0,2,1,2,3
186,20-310,QUE,1,1,2,1,0,4
187,20-312,PHI,0,1,1,2,0,3
188,20-316,BUF,1,0,1,-1,2,2
189,20-320,TOR,0,0,0,-1,0,3
190,20-322,NYR,0,1,1,-1,0,4
191,20-325,BOS,1,2,3,2,0,1
192,20-327,MNS,0,0,0,-1,0,7
193,20-329,CGY,0,0,0,1,0,3
194,20-330,WIN,0,0,0,-1,0,1
195,20-334,BOS,0,0,0,-2,2,3
196,20-336,OTT,0,2,2,2,0,3
197,20-339,VAN,0,2,2,2,4,3
198,20-342,EDM,0,0,0,0,0,4
199,20-343,CGY,1,1,2,2,0,2
200,20-346,WSH,0,2,2,2,0,3
201,20-348,NYI,0,0,0,-1,0,0
202,20-350,PHI,1,1,2,1,0,3
203,20-351,WSH,0,0,0,0,0,1
204,20-359,BOS,0,3,3,3,0,5
205,20-361,NYR,0,2,2,1,0,3
206,20-364,CHI,0,0,0,1,2,1
207,20-365,BUF,1,0,1,-2,0,5
208,21-003,EDM,0,1,1,0,0,4
209,21-005,NYI,1,0,1,0,0,2
210,21-006,HAR,0,1,1,1,0,3
211,21-008,NJD,1,0,1,0,0,3
212,21-015,PHI,0,0,0,-1,15,1
213,21-018,NYR,0,0,0,-3,0,1
214,21-022,BOS,0,0,0,0,2,1
215,21-024,LAK,2,0,2,1,0,6
216,21-027,NYI,0,0,0,1,0,1
217,21-031,WSH,1,1,2,3,0,5
218,21-033,PHI,1,2,3,1,0,4
219,21-034,EDM,1,0,1,1,0,4
220,21-036,SJS,1,2,3,2,0,3
221,21-038,NJD,1,0,1,-1,0,1
222,21-040,BOS,1,1,2,2,2,3
223,21-041,WSH,0,0,0,-1,0,2
224,21-043,OTT,0,1,1,1,0,4
225,21-045,HAR,0,2,2,2,2,4
226,21-047,QUE,0,0,0,-2,0,2
227,21-048,NJD,1,1,2,1,4,2
228,21-051,MTL,0,1,1,-1,0,6
229,21-053,NYR,1,1,2,0,0,2
230,21-054,NYR,0,2,2,2,2,1
231,21-058,NJD,0,2,2,-1,2,1
232,21-232,PHI,0,1,1,-1,0,1
233,21-234,MTL,0,0,0,0,0,4
234,21-236,NYR,0,2,2,1,0,7
235,21-237,QUE,1,1,2,-1,2,5
236,21-239,FLA,0,1,1,1,2,3
237,21-241,TBL,1,0,1,2,0,2
238,21-243,HAR,0,2,2,1,2,3
239,21-246,NYI,0,1,1,0,0,3
240,21-249,BUF,2,1,3,3,0,3
241,21-250,STL,0,0,0,-1,0,1
242,21-255,QUE,0,0,0,-1,0,6
243,21-257,CHI,2,1,3,2,0,3
244,21-260,SJS,0,0,0,0,0,1
245,21-261,BUF,2,2,4,4,0,8
246,21-264,LAK,0,1,1,-3,0,1
247,21-265,MDA,1,1,2,0,0,3
248,21-267,STL,0,1,1,2,15,0
249,21-269,CHI,0,0,0,0,2,2
250,21-271,DET,0,1,1,-2,0,3
251,21-274,PHI,1,5,6,3,0,3
252,21-276,WSH,0,1,1,2,0,5
253,21-278,MTL,0,0,0,-1,0,2
254,21-282,BOS,1,0,1,-1,0,4
255,21-284,WSH,0,0,0,0,0,3
256,21-285,OTT,1,1,2,0,0,12
257,21-290,NJD,1,0,1,0,0,3
258,21-292,HAR,1,3,4,0,2,4
259,21-296,DAL,0,1,1,1,0,4
260,21-299,TBL,0,0,0,1,0,2
261,21-302,LAK,0,0,0,0,0,5
262,21-304,BUF,0,0,0,1,4,2
263,21-307,NYI,1,1,2,-3,0,5
264,21-309,TBL,0,1,1,2,2,3
265,21-311,BOS,0,0,0,2,2,5
266,21-314,WSH,0,0,0,-2,0,4
267,21-316,PHI,0,2,2,-1,0,7
268,21-319,QUE,0,0,0,-1,0,5
269,21-321,HAR,0,2,2,-2,2,4
270,21-322,OTT,1,0,1,3,0,2
271,21-326,BUF,0,2,2,2,0,2
272,21-327,CGY,0,0,0,0,0,2
273,21-330,BOS,0,2,2,-3,2,1
